id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
919161,Arduino,arduino/Arduino,False,arduino,Organization,https://github.com/arduino/Arduino,Arduino IDE 1.x,False,2010-09-17T19:10:36Z,2025-10-29T12:42:14Z,2025-10-11T09:27:40Z,https://www.arduino.cc/en/software,1387855,14454,14454,Java,6997,741,master,"arduino,ide",public,other
156317154,onedev,theonedev/onedev,False,theonedev,Organization,https://github.com/theonedev/onedev,"Git Server with CI/CD, Kanban, and Packages. Seamless integration. Unparalleled experience.",False,2018-11-06T02:57:01Z,2025-10-29T14:23:47Z,2025-10-18T09:59:24Z,https://onedev.io,233584,14423,14423,Java,916,0,main,"ci-cd,devops,git,kanban,packages,self-hosted",public,mit
36817565,zaproxy,zaproxy/zaproxy,False,zaproxy,Organization,https://github.com/zaproxy/zaproxy,The ZAP by Checkmarx Core project,False,2015-06-03T16:55:01Z,2025-10-29T10:03:49Z,2025-10-29T12:20:29Z,https://www.zaproxy.org,201354,14278,14278,Java,2447,846,main,"appsec,dast,hacktoberfest,opensource,security,security-scanner,zap,zap-development,zaproxy",public,apache-2.0
14734876,deeplearning4j,deeplearning4j/deeplearning4j,False,deeplearning4j,Organization,https://github.com/deeplearning4j/deeplearning4j,"Suite of tools for deploying and training deep learning models using the JVM. Highlights include model import for keras, tensorflow, and onnx/pytorch, a modular and tiny c++ library for running math code and a java based math library on top of the core c++ library. Also includes samediff: a pytorch/tensorflow like library for running deep learn...",False,2013-11-27T02:03:28Z,2025-10-29T12:49:04Z,2025-10-26T20:29:24Z,http://deeplearning4j.konduit.ai,764988,14128,14128,Java,3858,680,master,"artificial-intelligence,clojure,deeplearning,deeplearning4j,dl4j,gpu,hadoop,intellij,java,linear-algebra,matrix-library,neural-nets,python,scala,spark",public,apache-2.0
118497841,jib,GoogleContainerTools/jib,False,GoogleContainerTools,Organization,https://github.com/GoogleContainerTools/jib,🏗 Build container images for your Java applications.,False,2018-01-22T18:30:43Z,2025-10-28T21:04:08Z,2025-10-27T01:05:27Z,,16745,14049,14049,Java,1456,238,master,"containers,docker,docker-registry,gradle,gradle-plugin,java,jib,kubernetes,maven,maven-plugin,microservices,oci",public,apache-2.0
8759133,zuul,Netflix/zuul,False,Netflix,Organization,https://github.com/Netflix/zuul,"Zuul is a gateway service that provides dynamic routing, monitoring, resiliency, security, and more.",False,2013-03-13T18:53:57Z,2025-10-29T13:54:37Z,2025-10-27T23:51:45Z,,6268,13925,13925,Java,2427,9,master,,public,apache-2.0
173335706,dolphinscheduler,apache/dolphinscheduler,False,apache,Organization,https://github.com/apache/dolphinscheduler,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,False,2019-03-01T16:39:25Z,2025-10-29T15:07:50Z,2025-10-29T15:07:39Z,https://dolphinscheduler.apache.org/,220817,13908,13908,Java,4925,259,dev,"airflow,azkaban,cloud-native,data-pipelines,job-scheduler,orchestration,powerful-data-pipelines,task-scheduler,workflow,workflow-orchestration,workflow-schedule",public,apache-2.0
32610336,logger,orhanobut/logger,False,orhanobut,User,https://github.com/orhanobut/logger,"✔️ Simple, pretty and powerful logger for android",False,2015-03-20T22:30:12Z,2025-10-25T08:19:33Z,2022-09-14T10:04:00Z,,1873,13887,13887,Java,2141,81,master,"android,java,json-logging,log,logcat,logger,pretty-printer,timber",public,apache-2.0
16446099,cryptomator,cryptomator/cryptomator,False,cryptomator,Organization,https://github.com/cryptomator/cryptomator,"Cryptomator for Windows, macOS, and Linux: Secure client-side encryption for your cloud storage, ensuring privacy and control over your data.",False,2014-02-02T00:43:47Z,2025-10-29T14:22:36Z,2025-10-29T14:22:32Z,https://cryptomator.org,26021,13866,13866,Java,1229,283,develop,"cloud-storage,crypto,cryptography,cryptomator,encryption,java,privacy,security",public,gpl-3.0
6358188,druid,apache/druid,False,apache,Organization,https://github.com/apache/druid,Apache Druid: a high performance real-time analytics database.,False,2012-10-23T19:08:07Z,2025-10-29T11:44:28Z,2025-10-29T09:12:06Z,https://druid.apache.org/,404535,13854,13854,Java,3759,746,master,druid,public,apache-2.0
