rank,name,stars,forks,language,description,url,clone_url,created_at,updated_at
77,alibaba/Sentinel,22905,8133,Java,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",https://github.com/alibaba/Sentinel,,,
78,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22783,779,Java,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,,,
79,apache/rocketmq,22096,11949,Java,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",https://github.com/apache/rocketmq,,,
80,dataease/dataease,21884,3784,Java,🔥 人人可用的开源 BI 工具，数据可视化神器。An open-source BI tool alternative to Tableau.,https://github.com/dataease/dataease,,,
81,google/ExoPlayer,21876,6044,Java,This project is deprecated and stale. The latest ExoPlayer code is available in https://github.com/androidx/media,https://github.com/google/ExoPlayer,,,
82,elunez/eladmin,21789,7394,Java,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,https://github.com/elunez/eladmin,,,
83,openjdk/jdk,21714,6233,Java,JDK main-line development https://openjdk.org/projects/jdk,https://github.com/openjdk/jdk,,,
84,LSPosed/LSPosed,21576,3803,Java,LSPosed Framework,https://github.com/LSPosed/LSPosed,,,
85,kestra-io/kestra,21180,1829,Java,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",https://github.com/kestra-io/kestra,,,
86,CarGuo/GSYVideoPlayer,21105,4296,Java,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，16k page size，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 ",https://github.com/CarGuo/GSYVideoPlayer,,,
87,oracle/graal,21092,1738,Java,"GraalVM compiles applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀",https://github.com/oracle/graal,,,
88,brettwooldridge/HikariCP,20717,2999,Java,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",https://github.com/brettwooldridge/HikariCP,,,
89,kunal-kushwaha/DSA-Bootcamp-Java,20666,12588,Java,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,,,
90,apache/shardingsphere,20452,6839,Java,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",https://github.com/apache/shardingsphere,,,
91,didi/DoKit,20388,3186,Java,一款面向泛前端产品研发全生命周期的效率平台。,https://github.com/didi/DoKit,,,
92,mybatis/mybatis-3,20231,12964,Java,MyBatis SQL mapper framework for Java,https://github.com/mybatis/mybatis-3,,,
93,ReactiveX/RxAndroid,20082,2949,Java,RxJava bindings for Android,https://github.com/ReactiveX/RxAndroid,,,
94,linlinjava/litemall,19922,7333,Java,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,https://github.com/linlinjava/litemall,,,
95,yudaocode/SpringBoot-Labs,19862,6144,Java,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,https://github.com/yudaocode/SpringBoot-Labs,,,
96,xiaojieonly/Ehviewer_CN_SXJ,19727,528,Java,ehviewer，用爱发电，快乐前行,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,,,
97,thingsboard/thingsboard,19715,5796,Java,"Open-source IoT Platform - Device management, data collection, processing and visualization.",https://github.com/thingsboard/thingsboard,,,
98,dianping/cat,18936,5438,Java,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",https://github.com/dianping/cat,,,
99,Baseflow/PhotoView,18871,3933,Java,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",https://github.com/Baseflow/PhotoView,,,
100,JetBrains/intellij-community,18785,5557,Java,IntelliJ IDEA & IntelliJ Platform,https://github.com/JetBrains/intellij-community,,,
101,dropbox/client-netty,3408,1216,Java,A popular Java tool for boot,https://github.com/dropbox/client-netty,https://github.com/dropbox/client-netty.git,2023-08-06T22:56:09.333440Z,2025-01-23T22:56:09.333444Z
102,apache/httpclient,2798,753,Java,A popular Java plugin for cassandra,https://github.com/apache/httpclient,https://github.com/apache/httpclient.git,2011-03-16T22:56:09.359522Z,2025-01-26T22:56:09.359525Z
